ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;ESTU_ESTUDIANTE;ESTU_PAIS_RESIDE;ESTU_DEPTO_RESIDE;ESTU_MCPIO_RESIDE;ESTU_ESTADOCIVIL;ESTU_TITULOOBTENIDOBACHILLER;ESTU_ANO_EXAMENESTADO_SB11;ESTU_SEMESTRE_EXAMENESTADOSB11;ESTU_PORCENTAJECREDITOSAPROB;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_TOMO_CURSOPREPARACION;ESTU_SIMULACROTIPOICFES;ESTU_ACTIVIDADREFUERZOAREAS;ESTU_ACTIVIDADREFUERZOGENERIC;ESTU_SEMESTRECURSA;FAMI_HOGARACTUAL;FAMI_CABEZAFAMILIA;FAMI_NUMPERSONASACARGO;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_OCUPACIONPADRE;FAMI_OCUPACIONMADRE;FAMI_ESTRATOVIVIENDA;FAMI_NIVEL_SISBEN;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_PISOS_HOGAR;FAMI_TIENEINTERNET;FAMI_TIENE_SERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENE_MICROONDAS;FAMI_TIENE_HORNO;FAMI_TIENEAUTOMOVIL;FAMI_TIENE_DVD;FAMI_TIENE_NEVERA;FAMI_TIENE_CELULAR;FAMI_TELEFONO;FAMI_INGRESO_FMILIAR_MENSUAL;ESTU_TRABAJA_ACTUALMENTE;INST_NOMBRE_INSTITUCION;ESTU_PRGM_ACADEMICO;GRUPOREFERENCIA;ESTU_PRGM_MUNICIPIO;ESTU_PRGM_DEPARTAMENTO;ESTU_NIVEL_PRGM_ACADEMICO;ESTU_METODO_PRGM;ESTU_NUCLEO_PREGRADO;ESTU_INST_MUNICIPIO;ESTU_INST_DEPARTAMENTO;INST_CARACTER_ACADEMICO;INST_ORIGEN;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;MOD_RAZONA_CUANTITAT_PUNT;MOD_RAZONA_CUANTITATIVO_PNAL;MOD_RAZONA_CUANTITATIVO_PGREF;MOD_LECTURA_CRITICA_PUNT;MOD_LECTURA_CRITICA_PNAL;MOD_LECTURA_CRITICA_PGREF;MOD_COMPETEN_CIUDADA_PUNT;MOD_COMPETEN_CIUDADA_PNAL;MOD_COMPETEN_CIUDADA_PGREF;MOD_INGLES_PUNT;MOD_INGLES_DESEM;MOD_INGLES_PNAL;MOD_INGLES_PGREF;MOD_COMUNI_ESCRITA_PUNT;MOD_COMUNI_ESCRITA_DESEM;MOD_COMUNI_ESCRITA_PNAL;MOD_COMUNI_ESCRITA_PGREF;PUNT_GLOBAL;PERCENTIL_GLOBAL;ESTU_INSE_INDIVIDUAL
COLOMBIA;F;04/05/1996;ESTUDIANTE;COLOMBIA;VALLE;CALI;Casado;Bachiller tÇcnico;2013;Segundo semestre;Entre el 76% y el 80%;No pag¢ matr°cula;Si;Si;No;No;3;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Empleado de nivel tÇcnico o profesional;Hogar;Estrato 1;Nivel 2;Seis;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;No;No;No;No;No;Si;Si;Si;Entre 1 y menos de 2 SMLV;Si, pr†ctica obligatoria del programa de estudios;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN SALUD OCUPACIONAL;TECNOLOGICO EN SALUD;CALI;VALLE;TECNOLOG÷A;DISTANCIA;SALUD PUBLICA;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;CALI;VALLE;76;92;35;44;96;43;46;103;55;56;78;-A1;14;19;88;2;27;24;91;28;51.161098
COLOMBIA;M;15/03/1988;ESTUDIANTE;COLOMBIA;CUNDINAMARCA;MOSQUERA;Soltero;Bachiller acadÇmico;2006;Segundo semestre;Entre el 76% y el 80%;No pag¢ matr°cula;No;No;No;No;3;Es temporal por razones de estudio u otra raz¢n;No;Ninguna;Primaria completa;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 2;Nivel 2;Cinco;Cuatro;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;No;Entre 3 y menos de 5 SMLV;Si, para adquirir experiencia y/o recursos para sus gastos personales;ESCUELA DE INGENIEROS MILITARES-BOGOTµ D.C.;TECNOLOGIA EN TOPOGRAFIA;TECNOLOGICO EN INGENIER÷A, INDUSTRIA Y MINAS;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;PRESENCIAL;INGENIERIA CIVIL Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N UNIVERSITARIA;OFICIAL NACIONAL;BOGOTµ, D.C.;BOGOTA;11;110;68;60;117;80;79;123;88;87;95;A1;45;44;105;3;56;60;110;76;50.846191
COLOMBIA;M;05/06/1998;ESTUDIANTE;COLOMBIA;ATLANTICO;BARANOA;Soltero;Bachiller acadÇmico;2014;Segundo semestre;M†s del 90%;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Otra actividad u ocupaci¢n;Trabajador por cuenta propia;Estrato 1;Nivel 1;Siete;Tres;Cemento, gravilla, ladrillo;No;No;No;No;No;Si;No;Si;Si;Si;No;Menos de 1 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN MANTENIMIENTO DE EQUIPOS DE COMPUTO, DISE•O E INSTALACION DE CABLEADO ESTRUCTURADO;TECNOLOGICO EN TIC;BARRANQUILLA;ATLANTICO;TECNOLOG÷A;PRESENCIAL;SIN CLASIFICAR;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BARRANQUILLA;ATLANTICO;8;114;75;67;65;4;4;75;12;12;99;A1;53;40;96;2;41;45;90;26;35.087009
COLOMBIA;F;01/02/1998;ESTUDIANTE;COLOMBIA;CORDOBA;MONTER÷A;Soltero;Bachiller acadÇmico;2013;Segundo semestre;M†s del 90%;No pag¢ matr°cula;No;No;No;No;4;Es habitual o permanente;No;Ninguna;Primaria incompleta;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Hogar;Estrato 1;Nivel 1;Cinco;Tres;Cemento, gravilla, ladrillo;Si;No;Si;Si;No;Si;No;Si;Si;Si;No;Menos de 1 SMLV;Si, pr†ctica obligatoria del programa de estudios;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN DIRECCI‡N DE VENTAS;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;MONTER÷A;CORDOBA;TECNOLOG÷A;PRESENCIAL;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;MONTER÷A;CORDOBA;23;106;61;64;121;85;86;118;81;81;102;A1;59;61;137;4;99;99;117;88;46.097851
COLOMBIA;M;29/03/1983;ESTUDIANTE;COLOMBIA;ANTIOQUIA;RIONEGRO;Casado;Bachiller acadÇmico;1999;Segundo semestre;;;No;No;No;No;;Es habitual o permanente;Si;Una;Secundaria (Bachillerato) completa;Primaria completa;Pensionado;Pensionado;Estrato 3;No est† clasificada por el SISBEN;Tres;Uno;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;No;No;Si;No;No;Si;Si;No;Entre 3 y menos de 5 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N DEL TALENTO HUMANO;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;RIONEGRO;ANTIOQUIA;TECNOLOG÷A;DISTANCIA;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;RIONEGRO;ANTIOQUIA;5;111;70;73;108;66;66;115;76;76;126;B1;89;90;120;3;84;83;116;86;47.527065
COLOMBIA;M;26/10/1989;ESTUDIANTE;COLOMBIA;BOLIVAR;CARTAGENA DE INDIAS;Soltero;Bachiller tÇcnico;2006;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;4;Es temporal por razones de estudio u otra raz¢n;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Peque§o empresario;Hogar;Estrato 1;Nivel 1;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;No;No;No;Si;No;Si;Entre 1 y menos de 2 SMLV;Si, pr†ctica obligatoria del programa de estudios;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N HOTELERA;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;CARTAGENA DE INDIAS;BOLIVAR;TECNOLOG÷A;DISTANCIA;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;CARTAGENA DE INDIAS;BOLIVAR;13;100;50;52;117;80;81;119;83;83;90;A1;35;36;88;2;27;24;103;60;53.994839
COLOMBIA;F;02/12/1994;ESTUDIANTE;COLOMBIA;SANTANDER;VILLANUEVA;Soltero;Bachiller tÇcnico;2011;Segundo semestre;Entre el 76% y el 80%;No pag¢ matr°cula;No;No;No;No;6;Es temporal por razones de estudio u otra raz¢n;No;Ninguna;Primaria completa;Educaci¢n profesional completa;Otra actividad u ocupaci¢n;Empleado de nivel tÇcnico o profesional;Estrato 2;Nivel 1;Dos;Dos;Madera pulida, baldosa, tableta, m†rmol, alfombra;No;Si;Si;No;No;No;No;No;Si;Si;No;Entre 2 y menos de 3 SMLV;No;CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO -UDI-BUCARAMANGA;TECNOLOGIA EN DISE•O GRAFICO;TECNOLOGICO EN ARTES - DISE•O - COMUNICACI‡N;BUCARAMANGA;SANTANDER;TECNOLOG÷A;PRESENCIAL;DISE•O;BUCARAMANGA;SANTANDER;INSTITUCI‡N UNIVERSITARIA;NO OFICIAL - CORPORACI‡N;BUCARAMANGA;SANTANDER;68;84;23;20;129;92;87;121;85;80;145;B1;98;91;129;4;95;92;122;93;42.423679
COLOMBIA;M;22/06/1982;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2000;Segundo semestre;Entre el 76% y el 80%;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Ninguno;Primaria incompleta;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 3;Nivel 1;Tres;Dos;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;No;Si;No;No;No;No;No;Si;Si;Si;Entre 1 y menos de 2 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOGIA EN FORMULACION DE PROYECTOS;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;PRESENCIAL;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BOGOTµ, D.C.;BOGOTA;11;89;30;32;86;25;24;103;55;53;118;A2;82;84;113;3;73;71;102;57;45.061642
COLOMBIA;F;01/05/1988;ESTUDIANTE;COLOMBIA;CAUCA;POPAYµN;Uni¢n libre;Bachiller acadÇmico;2006;Segundo semestre;M†s del 90%;Menos de 500 mil;Si;No;No;Si;6;Es habitual o permanente;Si;Dos;Primaria incompleta;Primaria incompleta;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 2;Nivel 2;Tres;Dos;Cemento, gravilla, ladrillo;Si;No;Si;Si;No;Si;No;No;Si;Si;No;Menos de 1 SMLV;Si, para adquirir experiencia y/o recursos para sus gastos personales;COLEGIO MAYOR DEL CAUCA-POPAYAN;TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;POPAYµN;CAUCA;TECNOLOG÷A;PRESENCIAL;ADMINISTRACION;POPAYµN;CAUCA;INSTITUCI‡N UNIVERSITARIA;OFICIAL NACIONAL;POPAYµN;CAUCA;19;124;88;90;86;25;24;90;31;29;86;A1;27;28;89;2;28;25;95;38;43.475365
COLOMBIA;M;05/03/1993;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2010;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) incompleta;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 2;Nivel 2;Seis;Tres;Cemento, gravilla, ladrillo;No;No;Si;Si;No;No;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N EMPRESARIAL;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;PRESENCIAL;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BOGOTµ, D.C.;BOGOTA;11;70;7;7;70;7;6;88;28;26;102;A1;59;61;65;1;6;5;79;8;43.708595
COLOMBIA;M;24/05/1989;ESTUDIANTE;COLOMBIA;ANTIOQUIA;MEDELL÷N;Soltero;Bachiller acadÇmico;2005;Segundo semestre;Entre el 81% y el 90%;Entre 1 mill¢n y menos de 3 millones;No;No;No;No;7;Es habitual o permanente;Si;Ninguna;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Trabajador por cuenta propia;Hogar;Estrato 3;Nivel 2;Una;Uno;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;No;No;No;No;Si;No;Si;No;Entre 1 y menos de 2 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;TECNOLOGICO DE ANTIOQUIA-MEDELLIN;TECNOLOGIA EN SISTEMAS;TECNOLOGICO EN TIC;MEDELL÷N;ANTIOQUIA;TECNOLOG÷A;PRESENCIAL;INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES;MEDELL÷N;ANTIOQUIA;INSTITUCI‡N UNIVERSITARIA;OFICIAL DEPARTAMENTAL;MEDELL÷N;ANTIOQUIA;5;110;68;59;103;57;52;107;62;60;118;A2;82;71;84;2;21;23;104;62;50.232357
COLOMBIA;M;09/10/1991;ESTUDIANTE;COLOMBIA;VALLE;CALI;Soltero;Bachiller tÇcnico;2010;Primer semestre;Entre el 81% y el 90%;No pag¢ matr°cula;No;No;No;No;5;Es habitual o permanente;No;Ninguna;TÇcnica o tecnol¢gica completa;TÇcnica o tecnol¢gica completa;Hogar;Peque§o empresario;Estrato 1;Esta clasificada en otro nivel del SISBEN;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 3 y menos de 5 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION;TECNOLOGICO EN TIC;CALI;VALLE;TECNOLOG÷A;DISTANCIA;INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;CALI;VALLE;76;75;11;8;70;7;6;58;2;3;109;A2;71;58;62;1;4;5;75;4;66.351593
COLOMBIA;M;13/10/1985;ESTUDIANTE;COLOMBIA;META;VILLAVICENCIO;Soltero;Bachiller tÇcnico;2003;Segundo semestre;M†s del 90%;Entre 1 mill¢n y menos de 3 millones;No;No;No;No;4;Es habitual o permanente;Si;Una;Ninguno;Ninguno;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 3;Nivel 2;Dos;Dos;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;No;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;UNIPANAMERICANA - FUNDACION UNIVERSITARIA PANAMERICANA-BOGOTµ D.C.;TêCNICA PROFESIONAL EN CONTABILIDAD COMERCIAL;TECNICO EN ADMINISTRACI‡N Y TURISMO;VILLAVICENCIO;META;TêCNICO PROFESIONAL;PRESENCIAL;CONTADURIA PUBLICA;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N UNIVERSITARIA;NO OFICIAL - FUNDACI‡N;VILLAVICENCIO;META;50;95;41;41;108;66;67;120;84;86;102;A1;59;63;62;1;4;4;97;44;54.880348
COLOMBIA;M;03/03/1993;ESTUDIANTE;COLOMBIA;BOYACA;SOGAMOSO;Soltero;Bachiller tÇcnico;2008;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;Si;No;Si;No;3;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 1;Nivel 1;Seis;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;No;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION;TECNOLOGICO EN TIC;SOGAMOSO;BOYACA;TECNOLOG÷A;DISTANCIA;INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;SOGAMOSO;BOYACA;15;125;89;84;125;89;85;99;47;45;108;A2;69;56;125;4;92;93;116;86;56.524574
COLOMBIA;F;27/02/1985;ESTUDIANTE;COLOMBIA;ANTIOQUIA;MEDELL÷N;Soltero;Bachiller acadÇmico;2009;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;4;Es habitual o permanente;Si;Dos;Secundaria (Bachillerato) incompleta;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 2;Nivel 1;Dos;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;No;No;Si;No;Si;No;Si;No;Menos de 1 SMLV;Si, pr†ctica obligatoria del programa de estudios;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN CONTROL AMBIENTAL;TECNOLOGICO EN INGENIER÷A, INDUSTRIA Y MINAS;MEDELL÷N;ANTIOQUIA;TECNOLOG÷A;DISTANCIA;INGENIERIA AMBIENTAL, SANITARIA Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;MEDELL÷N;ANTIOQUIA;5;84;23;18;94;39;38;114;75;74;68;-A1;1;1;84;2;21;24;89;24;48.353081
COLOMBIA;F;10/08/1997;ESTUDIANTE;COLOMBIA;META;VILLAVICENCIO;Soltero;Bachiller tÇcnico;2014;Primer semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;4;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;TÇcnica o tecnol¢gica completa;Pensionado;Hogar;Estrato 2;Nivel 1;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;No;No;No;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N ADMINISTRATIVA;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;VILLAVICENCIO;META;TECNOLOG÷A;DISTANCIA;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;VILLAVICENCIO;META;50;64;4;4;77;13;12;55;2;2;89;A1;33;34;102;2;48;45;77;6;56.856396
COLOMBIA;M;28/10/1986;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2003;Segundo semestre;M†s del 90%;M†s de 5 millones;No;No;No;No;4;Es habitual o permanente;Si;Ninguna;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Peque§o empresario;Peque§o empresario;Estrato 3;Nivel 1;Una;Uno;Madera burda, tabla, tabl¢n;Si;Si;No;Si;Si;Si;No;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;POLITECNICO INTERNACIONAL INSTITUCION DE EDUCACION SUPERIOR-BOGOTµ D.C.;TECNICO PROFESIONAL EN GASTRONOMIA;TECNICO EN ARTES - DISE•O - COMUNICACI‡N;BOGOTµ, D.C.;BOGOTA;TêCNICO PROFESIONAL;PRESENCIAL;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;TêCNICA PROFESIONAL;NO OFICIAL - FUNDACI‡N;BOGOTµ, D.C.;BOGOTA;11;145;100;100;103;57;57;92;34;33;117;A2;81;83;90;2;28;26;109;74;47.714485
COLOMBIA;M;28/12/1989;ESTUDIANTE;COLOMBIA;SANTANDER;BARRANCABERMEJA;Soltero;Bachiller tÇcnico;2006;Segundo semestre;M†s del 90%;No pag¢ matr°cula;No;No;No;No;;Es habitual o permanente;Si;Cuatro;Ninguno;TÇcnica o tecnol¢gica incompleta;Empleado de nivel tÇcnico o profesional;Profesional independiente;Estrato 2;Nivel 1;Ocho;Dos;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;Si;No;No;Si;Si;Si;Menos de 1 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN MANTENIMIENTO MECµNICO INDUSTRIAL;TECNOLOGICO EN INGENIER÷A, INDUSTRIA Y MINAS;BARRANCABERMEJA;SANTANDER;TECNOLOG÷A;DISTANCIA;INGENIERIA MECANICA Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BARRANCABERMEJA;SANTANDER;68;82;20;16;96;43;42;78;15;15;78;-A1;14;14;117;3;80;82;90;26;48.376579
COLOMBIA;F;15/04/1996;ESTUDIANTE;COLOMBIA;CAUCA;POPAYµN;Soltero;Bachiller tÇcnico;2014;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;4;Es habitual o permanente;No;Ninguna;Ninguno;Primaria completa;Otra actividad u ocupaci¢n;Otra actividad u ocupaci¢n;Estrato 1;Nivel 1;Cuatro;Dos;Madera burda, tabla, tabl¢n;No;Si;No;No;No;No;No;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;Si, para adquirir experiencia y/o recursos para sus gastos personales;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN CONTROL AMBIENTAL;TECNOLOGICO EN INGENIER÷A, INDUSTRIA Y MINAS;POPAYµN;CAUCA;TECNOLOG÷A;DISTANCIA;INGENIERIA AMBIENTAL, SANITARIA Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;POPAYµN;CAUCA;19;104;57;49;123;87;86;128;93;91;93;A1;41;40;95;2;38;42;109;74;36.0331
COLOMBIA;F;27/04/1994;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller tÇcnico;2016;Primer semestre;M†s del 90%;No pag¢ matr°cula;No;No;No;No;6;Es habitual o permanente;No;Ninguna;Primaria incompleta;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Hogar;Estrato 2;No est† clasificada por el SISBEN;Cuatro;Dos;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;No;No;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTµ D.C.;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGICO EN SALUD;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;DISTANCIA;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;UNIVERSIDAD;OFICIAL NACIONAL;BOGOTµ, D.C.;BOGOTA;11;113;73;81;128;92;93;132;96;96;107;A2;68;77;95;2;38;36;115;85;56.032043
COLOMBIA;F;27/10/1990;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2008;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado obrero u operario;Trabajador por cuenta propia;Estrato 3;Nivel 3;Ocho;Cinco;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;Si, pr†ctica obligatoria del programa de estudios;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N EMPRESARIAL;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;PRESENCIAL;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BOGOTµ, D.C.;BOGOTA;11;74;11;11;83;20;20;76;13;12;82;-A1;20;20;91;2;29;26;81;10;59.004353
COLOMBIA;M;04/01/1994;ESTUDIANTE;COLOMBIA;CASANARE;YOPAL;Soltero;Bachiller acadÇmico;2012;Segundo semestre;Entre el 81% y el 90%;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado obrero u operario;Hogar;Estrato 1;Nivel 1;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;No;Si;No;No;Si;No;No;Si;Si;No;Entre 1 y menos de 2 SMLV;Si, para adquirir experiencia y/o recursos para sus gastos personales;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N EMPRESARIAL;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;YOPAL;CASANARE;TECNOLOG÷A;DISTANCIA;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;YOPAL;CASANARE;85;120;83;86;89;30;29;58;2;2;67;-A1;1;1;78;1;15;13;82;11;45.946293
